keyword,priority,category,subcategory
milk,85,Food,Groceries
milks,80,Food,Groceries
MILK,85,Food,Groceries
bread,95,Food,Groceries
breads,90,Food,Groceries
BREAD,95,Food,Groceries
eggs,85,Food,Groceries
eggss,80,Food,Groceries
EGGS,85,Food,Groceries
cheese,95,Food,Groceries
cheeses,90,Food,Groceries
CHEESE,95,Food,Groceries
butter,95,Food,Groceries
butters,90,Food,Groceries
BUTTER,95,Food,Groceries
iaurt,95,Food,Groceries
iaurts,90,Food,Groceries
IAURT,95,Food,Groceries
lapte,95,Food,Groceries
laptes,90,Food,Groceries
LAPTE,95,Food,Groceries
paine,95,Food,Groceries
paines,90,Food,Groceries
PAINE,95,Food,Groceries
oua,85,Food,Groceries
ouas,80,Food,Groceries
OUA,85,Food,Groceries
branza,95,Food,Groceries
branzas,90,Food,Groceries
BRANZA,95,Food,Groceries
unt,85,Food,Groceries
unts,80,Food,Groceries
UNT,85,Food,Groceries
fruits,95,Food,Groceries
fruitss,90,Food,Groceries
FRUITS,95,Food,Groceries
vegetables,95,Food,Groceries
vegetabless,90,Food,Groceries
VEGETABLES,95,Food,Groceries
mere,85,Food,Groceries
meres,80,Food,Groceries
MERE,85,Food,Groceries
banane,95,Food,Groceries
bananes,90,Food,Groceries
BANANE,95,Food,Groceries
rosii,95,Food,Groceries
rosiis,90,Food,Groceries
ROSII,95,Food,Groceries
cartofi,95,Food,Groceries
cartofis,90,Food,Groceries
CARTOFI,95,Food,Groceries
orez,85,Food,Groceries
orezs,80,Food,Groceries
OREZ,85,Food,Groceries
rice,85,Food,Groceries
rices,80,Food,Groceries
RICE,85,Food,Groceries
pasta,95,Food,Groceries
pastas,90,Food,Groceries
PASTA,95,Food,Groceries
faina,95,Food,Groceries
fainas,90,Food,Groceries
FAINA,95,Food,Groceries
zahar,95,Food,Groceries
zahars,90,Food,Groceries
ZAHAR,95,Food,Groceries
sugar,95,Food,Groceries
sugars,90,Food,Groceries
SUGAR,95,Food,Groceries
salt,85,Food,Groceries
salts,80,Food,Groceries
SALT,85,Food,Groceries
coffee,95,Food,Groceries
coffees,90,Food,Groceries
COFFEE,95,Food,Groceries
cafea,95,Food,Groceries
cafeas,90,Food,Groceries
CAFEA,95,Food,Groceries
tea,85,Food,Groceries
teas,80,Food,Groceries
TEA,85,Food,Groceries
ceai,85,Food,Groceries
ceais,80,Food,Groceries
CEAI,85,Food,Groceries
water,95,Food,Groceries
waters,90,Food,Groceries
WATER,95,Food,Groceries
apa,85,Food,Groceries
apas,80,Food,Groceries
APA,85,Food,Groceries
juice,95,Food,Groceries
juices,90,Food,Groceries
JUICE,95,Food,Groceries
suc,85,Food,Groceries
sucs,80,Food,Groceries
SUC,85,Food,Groceries
meat,85,Food,Groceries
meats,80,Food,Groceries
MEAT,85,Food,Groceries
carne,95,Food,Groceries
carnes,90,Food,Groceries
CARNE,95,Food,Groceries
chicken,95,Food,Groceries
chickens,90,Food,Groceries
CHICKEN,95,Food,Groceries
pui,85,Food,Groceries
puis,80,Food,Groceries
PUI,85,Food,Groceries
beef,85,Food,Groceries
beefs,80,Food,Groceries
BEEF,85,Food,Groceries
vita,85,Food,Groceries
vitas,80,Food,Groceries
VITA,85,Food,Groceries
fish,85,Food,Groceries
fishs,80,Food,Groceries
FISH,85,Food,Groceries
peste,95,Food,Groceries
pestes,90,Food,Groceries
PESTE,95,Food,Groceries
restaurant,95,Food,Restaurants
restaurants,90,Food,Restaurants
RESTAURANT,95,Food,Restaurants
pizza,95,Food,Restaurants
pizzas,90,Food,Restaurants
PIZZA,95,Food,Restaurants
burger,95,Food,Restaurants
burgers,90,Food,Restaurants
BURGER,95,Food,Restaurants
menu,85,Food,Restaurants
menus,80,Food,Restaurants
MENU,85,Food,Restaurants
meniul,95,Food,Restaurants
meniuls,90,Food,Restaurants
MENIUL,95,Food,Restaurants
dine,85,Food,Restaurants
dines,80,Food,Restaurants
DINE,85,Food,Restaurants
bistro,95,Food,Restaurants
bistros,90,Food,Restaurants
BISTRO,95,Food,Restaurants
grill,95,Food,Restaurants
grills,90,Food,Restaurants
GRILL,95,Food,Restaurants
steak,95,Food,Restaurants
steaks,90,Food,Restaurants
STEAK,95,Food,Restaurants
sushi,95,Food,Restaurants
sushis,90,Food,Restaurants
SUSHI,95,Food,Restaurants
pasta,95,Food,Restaurants
pastas,90,Food,Restaurants
PASTA,95,Food,Restaurants
cafe,85,Food,Restaurants
cafes,80,Food,Restaurants
CAFE,85,Food,Restaurants
pub,85,Food,Restaurants
pubs,80,Food,Restaurants
PUB,85,Food,Restaurants
brunch,95,Food,Restaurants
brunchs,90,Food,Restaurants
BRUNCH,95,Food,Restaurants
lunch,95,Food,Restaurants
lunchs,90,Food,Restaurants
LUNCH,95,Food,Restaurants
dinner,95,Food,Restaurants
dinners,90,Food,Restaurants
DINNER,95,Food,Restaurants
takeaway,95,Food,Takeaway
takeaways,90,Food,Takeaway
TAKEAWAY,95,Food,Takeaway
delivery,95,Food,Takeaway
deliverys,90,Food,Takeaway
DELIVERY,95,Food,Takeaway
glovo,95,Food,Takeaway
glovos,90,Food,Takeaway
GLOVO,95,Food,Takeaway
tazz,85,Food,Takeaway
tazzs,80,Food,Takeaway
TAZZ,85,Food,Takeaway
bolt food,95,Food,Takeaway
foodpanda,95,Food,Takeaway
foodpandas,90,Food,Takeaway
FOODPANDA,95,Food,Takeaway
comanda,95,Food,Takeaway
comandas,90,Food,Takeaway
COMANDA,95,Food,Takeaway
livrare,95,Food,Takeaway
livrares,90,Food,Takeaway
LIVRARE,95,Food,Takeaway
to go,95,Food,Takeaway
pickup,95,Food,Takeaway
pickups,90,Food,Takeaway
PICKUP,95,Food,Takeaway
fuel,85,Transportation,Fuel
fuels,80,Transportation,Fuel
FUEL,85,Transportation,Fuel
diesel,95,Transportation,Fuel
diesels,90,Transportation,Fuel
DIESEL,95,Transportation,Fuel
benzina,95,Transportation,Fuel
benzinas,90,Transportation,Fuel
BENZINA,95,Transportation,Fuel
motorina,95,Transportation,Fuel
motorinas,90,Transportation,Fuel
MOTORINA,95,Transportation,Fuel
petrol,95,Transportation,Fuel
petrols,90,Transportation,Fuel
PETROL,95,Transportation,Fuel
gpl,85,Transportation,Fuel
gpls,80,Transportation,Fuel
GPL,85,Transportation,Fuel
lukoil,95,Transportation,Fuel
lukoils,90,Transportation,Fuel
LUKOIL,95,Transportation,Fuel
omv,85,Transportation,Fuel
omvs,80,Transportation,Fuel
OMV,85,Transportation,Fuel
petrom,95,Transportation,Fuel
petroms,90,Transportation,Fuel
PETROM,95,Transportation,Fuel
mOL,85,Transportation,Fuel
mOLs,80,Transportation,Fuel
MOL,85,Transportation,Fuel
shell,95,Transportation,Fuel
shells,90,Transportation,Fuel
SHELL,95,Transportation,Fuel
bus,85,Transportation,Public Transport
